load_container;start_container;start_application;stop_container;remove_container;remove_image;image_size;application;service;deployment_type;date_time
6669147555;17839193816;7344957;2211046825;704865907;315620379;2048;rabbitmq;lxc;vm;2024-07-18 07:46:48
6733519676;17567832171;7596258;2183164562;556581727;257056016;2048;rabbitmq;lxc;vm;2024-07-18 07:47:15
6700104106;17779538519;9101035;2157505809;559627257;258381373;2048;rabbitmq;lxc;vm;2024-07-18 07:47:43
6693629598;17867378437;8474530;2258316659;546672727;257952818;2048;rabbitmq;lxc;vm;2024-07-18 07:48:10
6699119912;17922291727;8406778;2091635453;553596782;258816417;2048;rabbitmq;lxc;vm;2024-07-18 07:48:38
6710796174;18106718710;6895762;2157079218;552257434;258817038;2048;rabbitmq;lxc;vm;2024-07-18 07:49:06
6849956668;17774717983;7183978;2127740742;557171017;258803708;2048;rabbitmq;lxc;vm;2024-07-18 07:49:34
6820014389;18164319403;11019468;2339462285;626626205;350590467;2048;rabbitmq;lxc;vm;2024-07-18 07:50:02
6880782640;18037192768;8329468;2090380690;548248955;259745940;2048;rabbitmq;lxc;vm;2024-07-18 07:50:30
6872812448;17582941553;7496873;2080703147;548810148;257998186;2048;rabbitmq;lxc;vm;2024-07-18 07:50:57
6737823625;18353340746;7331393;2173222347;553272846;331608737;2048;rabbitmq;lxc;vm;2024-07-18 07:51:25
6703484883;17483869719;7887152;2089943025;558477296;258238603;2048;rabbitmq;lxc;vm;2024-07-18 07:51:53
6808374134;17930383417;7629093;91299704910;593730641;258630315;2048;rabbitmq;lxc;vm;2024-07-18 07:53:50
7713918872;17560559358;7649128;2164321117;579901586;259597766;2048;rabbitmq;lxc;vm;2024-07-18 07:54:18
6684893639;17762841690;6995650;2094596565;563382603;259290323;2048;rabbitmq;lxc;vm;2024-07-18 07:54:45
6690198978;17950088132;7436507;2187222801;549396576;306819275;2048;rabbitmq;lxc;vm;2024-07-18 07:55:13
6753566791;17783168608;9258712;2135223677;550692096;259237086;2048;rabbitmq;lxc;vm;2024-07-18 07:55:41
6732069388;17661996597;7675576;2109462138;557595273;264440561;2048;rabbitmq;lxc;vm;2024-07-18 07:56:08
6721029182;18015699376;7466784;2158327637;555018335;282234577;2048;rabbitmq;lxc;vm;2024-07-18 07:56:36
6707732217;17741194638;6967694;2104837472;556232781;256772409;2048;rabbitmq;lxc;vm;2024-07-18 07:57:03
6774570971;17956741438;7673142;2312290037;551671305;307763179;2048;rabbitmq;lxc;vm;2024-07-18 07:57:31
6835316002;17764125866;7536762;2122406211;548505641;258860810;2048;rabbitmq;lxc;vm;2024-07-18 07:57:59
6655920203;17955573682;19110067;91414373827;592245671;261092664;2048;rabbitmq;lxc;vm;2024-07-18 07:59:56
6688488398;17618031633;7309020;2130460857;581763024;258633143;2048;rabbitmq;lxc;vm;2024-07-18 08:00:23
6737113803;17872284951;7468641;2242493253;620927521;312729888;2048;rabbitmq;lxc;vm;2024-07-18 08:00:51
6943094556;17735801037;17794722;2164466030;563665766;259794425;2048;rabbitmq;lxc;vm;2024-07-18 08:01:19
6749353599;17727123975;6854124;2164633620;585453880;307323283;2048;rabbitmq;lxc;vm;2024-07-18 08:01:46
6704768281;18091327764;8133703;2160285394;558303711;259472276;2048;rabbitmq;lxc;vm;2024-07-18 08:02:14
6805449741;18507919678;7634421;2247565308;583959690;317082769;2048;rabbitmq;lxc;vm;2024-07-18 08:02:43
6752338444;17985970959;7523552;2188166125;558976707;259009955;2048;rabbitmq;lxc;vm;2024-07-18 08:03:11
6739393871;17847657163;18144938;2159682143;555775859;259275461;2048;rabbitmq;lxc;vm;2024-07-18 08:03:38
6664627750;18405851139;8997952;2133689178;562474548;259791178;2048;rabbitmq;lxc;vm;2024-07-18 08:04:06
6733825981;18149490339;7450806;2095104455;552954412;267812045;2048;rabbitmq;lxc;vm;2024-07-18 08:04:34
6857342553;17956457122;10962106;2248062093;549592346;259921045;2048;rabbitmq;lxc;vm;2024-07-18 08:05:02
6713908031;18081347702;7561613;2256845772;844452462;269653687;2048;rabbitmq;lxc;vm;2024-07-18 08:05:30
6766748930;17562928210;18129174;2142505643;559500533;259708910;2048;rabbitmq;lxc;vm;2024-07-18 08:05:58
6826257597;17905092080;14601241;2239198152;548612559;259592213;2048;rabbitmq;lxc;vm;2024-07-18 08:06:26
6734897234;18009557208;8410372;2342566746;617226573;262004853;2048;rabbitmq;lxc;vm;2024-07-18 08:06:54
6794117015;17764451910;14593208;2087646045;560645653;259506229;2048;rabbitmq;lxc;vm;2024-07-18 08:07:21
6705121351;17925539877;8128935;2207081059;565528196;288649946;2048;rabbitmq;lxc;vm;2024-07-18 08:07:49
6852125541;17782602189;9082561;2197978301;587783315;263957533;2048;rabbitmq;lxc;vm;2024-07-18 08:08:17
